,trial_num,image_label,category,type,image_type,has_question,Image_Index,Image_Name,Filler_Index,Block,Part,Onset,Offset,Response,RT,Question_Position,Question_Response,Question_RT
55,56,C2_S28,2.0,study,target,False,Filler-7093,,,1,study,169.3191954998765,171.3203049581498,,,0.0,,
56,57,C2_S14,2.0,study,target,False,Filler-1929,,,1,study,172.32220695819706,174.3232968749944,,,0.0,,
57,58,C2_S17,2.0,study,target,False,Filler-5923,,,1,study,175.3252272498794,177.32631179131567,,,0.0,,
58,59,C2_S20,2.0,study,target,False,Filler-292,,,1,study,178.3282628331799,180.3296775831841,,,0.0,,
59,60,C2_S12,2.0,study,target,False,Filler-5058,,,1,study,181.3315959998872,183.332753083203,,,0.0,,
60,61,C2_S29,2.0,study,target,False,Target-1332,,,1,study,184.33468295820057,186.33587462478317,,,0.0,,
61,62,C2_S30,2.0,study,target,False,Target-1719,,,1,study,187.3377955830656,189.33890274981968,,,0.0,,
62,63,F3,,study,filler,True,fillers_images/nonhuman4.jpg,nonhuman4.jpg,3.0,1,study,190.34107895824127,192.34235479147173,,,1.0,0.0,1.1227754168212414
63,64,C3_S14,3.0,study,target,False,Filler-5545,,,1,study,194.9724743331317,196.97356470813975,,,0.0,,
64,65,C3_S9,3.0,study,target,False,Filler-2826,,,1,study,197.97549045807682,199.9766573330853,,,0.0,,
65,66,C3_S17,3.0,study,target,False,Filler-4922,,,1,study,200.97891462501138,202.98019341635518,,,0.0,,
